"","V2","V4","Corner3 Usage","3s Assisted","Corner 3P%","3PA","Corner3Usage_percentile","Corner3Usage_ranking","Assisted3s_percentile","Assisted3s_ranking","Attempted3s_percentile","Attempted3s_ranking","Corner3_FGPct_percentile","Corner3_FGPct_ranking","Temp"
"1","A.J. Green","MIL",0.261,0.936,0.6,6.8,56,226,55,232,93,38,94,29,"Rate"
"2","A.J. Lawson","TOR",0.5,1,0.5,1.3,89,55,100,1,32,349,88,60,"Rate"
"3","AJ Johnson","WAS",0.167,1,0,0.4,36,328,100,2,15,435,24,389,"Rate"
"4","Aaron Gordon","DEN",0.206,0.786,0.462,4.8,45,283,32,350,80,104,76,124,"Rate"
"5","Aaron Holiday","HOU",0.321,0.944,0.481,3.5,66,175,55,233,66,177,81,99,"Rate"
"6","Aaron Nesmith","IND",0.233,0.95,0.458,7.4,49,260,58,218,96,22,76,125,"Rate"
"7","Aaron Wiggins","OKC",0.29,0.872,0.379,4.8,61,201,41,303,80,105,61,202,"Rate"
"8","Ace Bailey","UTA",0.31,0.933,0.333,4.2,65,182,51,251,72,146,50,258,"Rate"
"9","Adem Bona","PHI",0.8,1,0.25,0.2,97,17,99,3,12,453,38,319,"Rate"
"10","Ajay Mitchell","OKC",0.306,0.794,0.433,3.1,64,183,32,351,61,200,70,155,"Rate"
"11","Al Horford","GSW",0.264,1,0.474,4.5,56,227,99,4,76,121,79,106,"Rate"
"12","Alex Caruso","OKC",0.42,1,0.265,3.4,82,93,99,5,64,183,39,316,"Rate"
"13","Alex Sarr","WAS",0.083,1,0.333,3.1,18,419,99,6,61,201,50,259,"Rate"
"14","Alperen Şengün","HOU",0.095,0.9,0.5,2.4,21,404,46,279,50,257,88,61,"Rate"
"15","Amen Thompson","HOU",0.533,1,0.188,2,90,51,99,7,46,279,30,360,"Rate"
"16","Amir Coffey","MIL",0.667,1,0.125,0.5,94,31,98,8,18,423,26,380,"Rate"
"17","Andre Drummond","PHI",0.737,1,0.429,1.3,96,19,98,9,32,350,70,156,"Rate"
"18","Andre Jackson Jr.","MIL",0.267,0.667,0,1,57,220,22,399,25,385,24,390,"Rate"
"19","Andrew Nembhard","IND",0.053,0.674,0.143,5.1,15,436,22,400,82,90,27,374,"Rate"
"20","Andrew Wiggins","MIA",0.23,0.945,0.419,4.7,49,261,54,234,78,115,68,166,"Rate"
"21","Anfernee Simons","BOS",0.076,0.699,0.467,6.2,18,420,24,391,90,52,79,107,"Rate"
"22","Anthony Black","ORL",0.303,0.82,0.477,4.3,63,191,36,331,74,136,81,100,"Rate"
"23","Anthony Davis","DAL",0.129,0.9,0.5,1.9,28,369,46,280,43,291,88,62,"Rate"
"24","Anthony Edwards","MIN",0.068,0.614,0.4,8.2,17,425,20,413,98,11,65,182,"Rate"
"25","Anthony Gill","WAS",0.5,1,1,0.2,89,56,98,10,12,454,100,1,"Rate"
"26","Antonio Reeves","CHO",0.4,1,0.75,1.7,79,110,98,11,40,308,97,17,"Rate"
"27","Asa Newell","ATL",0.681,1,0.438,1.9,94,29,98,12,43,292,72,143,"Rate"
"28","Ausar Thompson","DET",0.353,1,0.333,0.6,72,145,97,13,19,417,49,260,"Rate"
"29","Austin Reaves","LAL",0.1,0.645,0.471,7.4,21,405,21,407,96,23,79,108,"Rate"
"30","Ayo Dosunmu","CHI",0.411,0.978,0.432,4,80,104,66,177,69,158,69,157,"Rate"
"31","Bam Adebayo","MIA",0.364,0.971,0.333,4.3,74,134,64,187,73,137,49,261,"Rate"
"32","Baylor Scheierman","BOS",0.304,1,0.643,1.6,63,192,97,14,38,318,95,24,"Rate"
"33","Ben Saraf","BRK",0.242,0.889,0,2.8,52,246,44,287,56,224,24,391,"Rate"
"34","Ben Sheppard","IND",0.374,0.962,0.294,4,76,125,61,198,69,159,42,297,"Rate"
"35","Bennedict Mathurin","IND",0.16,0.698,0.522,6.3,34,339,24,392,90,49,89,56,"Rate"
"36","Bilal Coulibaly","WAS",0.386,1,0.37,3.9,77,118,97,15,68,165,56,228,"Rate"
"37","Blake Wesley","POR",0.1,1,0,1.7,21,406,97,16,40,309,24,392,"Rate"
"38","Bobby Portis","MIL",0.292,1,0.55,4,61,202,97,17,69,160,91,45,"Rate"
"39","Bobi Klintman","DET",0.364,1,0,1.8,74,135,96,18,42,300,24,393,"Rate"
"40","Bogdan Bogdanović","LAC",0.125,0.583,0.556,4.5,25,384,18,420,76,122,92,39,"Rate"
"41","Bones Hyland","MIN",0.13,0.714,0.3,3.1,28,370,25,385,61,202,44,290,"Rate"
"42","Bradley Beal","LAC",0.211,1,0.25,3.2,45,284,96,19,62,196,38,320,"Rate"
"43","Branden Carlson","OKC",0.182,1,0.375,1.8,38,319,96,20,41,301,61,203,"Rate"
"44","Brandin Podziemski","GSW",0.195,0.776,0.531,4.8,43,291,32,352,79,106,90,51,"Rate"
"45","Brandon Ingram","TOR",0.233,0.919,0.452,5.1,49,262,49,261,82,91,73,140,"Rate"
"46","Brandon Miller","CHO",0.109,0.886,0.4,8.1,22,400,44,288,97,13,64,183,"Rate"
"47","Brandon Williams","DAL",0.247,0.933,0.1,2.7,55,232,51,252,54,236,25,385,"Rate"
"48","Brice Sensabaugh","UTA",0.308,0.958,0.409,4.6,64,184,61,199,77,118,66,173,"Rate"
"49","Bronny James","LAL",0.278,0.8,0,1,59,209,34,339,25,386,23,394,"Rate"
"50","Brook Lopez","LAC",0.079,1,0.25,4,18,421,96,21,69,161,38,321,"Rate"
"51","Brooks Barnhizer","OKC",0.6,1,0.333,0.3,92,43,96,22,14,442,49,262,"Rate"
"52","Bruce Brown","DEN",0.471,0.941,0.375,1.5,86,72,54,235,35,333,60,204,"Rate"
"53","Bryce McGowens","NOP",0.455,0.938,0.467,1.6,85,76,54,236,38,319,79,109,"Rate"
"54","Bub Carrington","WAS",0.183,0.734,0.346,4.4,38,320,27,377,75,129,53,244,"Rate"
"55","Buddy Hield","GSW",0.211,0.953,0.357,4.3,45,285,57,219,73,138,55,233,"Rate"
"56","CJ McCollum","WAS",0.132,0.655,0.367,7.1,28,371,22,403,95,25,55,229,"Rate"
"57","Cade Cunningham","DET",0.049,0.426,0.222,6.2,15,437,16,431,90,53,34,337,"Rate"
"58","Caleb Houstan","ATL",0.2,1,0.5,1.3,43,292,96,23,32,351,88,63,"Rate"
"59","Caleb Love","POR",0.124,0.886,0.167,5.6,25,385,44,289,85,75,29,365,"Rate"
"60","Caleb Martin","DAL",0.643,1,0.111,0.5,93,38,95,24,18,424,26,382,"Rate"
"61","Cam Christie","LAC",0.3,1,0.444,1.5,62,193,95,25,35,334,72,144,"Rate"
"62","Cam Spencer","MEM",0.098,0.785,0.563,5.1,21,407,31,353,82,92,92,40,"Rate"
"63","Cam Thomas","BRK",0.089,0.55,0.4,5.6,20,413,18,423,85,76,64,184,"Rate"
"64","Cam Whitmore","WAS",0.054,0.625,0,2.7,15,438,20,411,54,237,23,395,"Rate"
"65","Cameron Johnson","DEN",0.302,0.944,0.395,4.5,62,194,54,237,76,123,64,185,"Rate"
"66","Caris LeVert","DET",0.174,0.818,0.467,3.3,36,329,35,332,63,191,79,110,"Rate"
"67","Carter Bryant","SAS",0.424,1,0.286,1.3,82,94,95,26,32,352,42,298,"Rate"
"68","Cason Wallace","OKC",0.358,0.98,0.458,4.1,74,136,65,178,71,151,75,126,"Rate"
"69","Cedric Coward","MEM",0.287,0.936,0.244,4.5,61,203,54,238,76,124,35,332,"Rate"
"70","Chaz Lanier","DET",0.189,0.917,0.143,2.6,40,308,49,262,53,244,27,375,"Rate"
"71","Chet Holmgren","OKC",0.15,0.952,0.375,3.7,32,352,57,220,67,171,60,205,"Rate"
"72","Chris Boucher","BOS",0.25,1,0,1.5,55,233,95,27,35,335,23,396,"Rate"
"73","Chris Paul","LAC",0.133,0.5,0.5,1.9,28,372,17,425,43,293,88,64,"Rate"
"74","Chris Youngblood","OKC",0.258,1,0.25,1.3,56,228,95,28,31,353,37,322,"Rate"
"75","Christian Braun","DEN",0.107,1,0.667,2.5,22,401,94,29,51,251,96,18,"Rate"
"76","Coby White","CHI",0.13,0.8,0.571,6.8,27,373,34,340,92,39,93,38,"Rate"
"77","Cody Williams","UTA",0.69,1,0.1,1.5,95,26,94,30,35,336,25,386,"Rate"
"78","Cole Anthony","MIL",0.231,0.6,0.333,1.9,49,263,19,414,43,294,49,263,"Rate"
"79","Collin Gillespie","PHO",0.156,0.75,0.639,7,34,340,29,366,94,32,95,25,"Rate"
"80","Collin Murray-Boyles","TOR",0.243,1,0.222,1.3,52,247,94,31,31,355,34,338,"Rate"
"81","Collin Sexton","CHO",0.126,0.765,0.545,3.5,27,374,30,360,65,178,91,46,"Rate"
"82","Cooper Flagg","DAL",0.158,0.719,0.111,3.5,34,341,26,381,65,179,25,383,"Rate"
"83","Corey Kispert","WAS",0.225,0.964,0.375,3.9,47,272,61,200,68,166,60,206,"Rate"
"84","Craig Porter Jr.","CLE",0.195,0.75,0.5,1.4,43,293,29,367,33,344,87,65,"Rate"
"85","D'Angelo Russell","DAL",0.155,0.758,0.118,4.4,33,342,30,361,75,130,26,381,"Rate"
"86","DaRon Holmes","DEN",0.5,1,1,1,89,57,94,32,24,389,100,2,"Rate"
"87","Dalen Terry","CHI",0.368,1,0.143,1.1,75,126,94,33,27,375,27,376,"Rate"
"88","Dalton Knecht","LAL",0.239,0.958,0.313,2.6,52,248,61,201,52,245,44,286,"Rate"
"89","Daniss Jenkins","DET",0.217,0.952,0.462,2.2,47,273,57,221,48,268,75,127,"Rate"
"90","Danny Wolf","BRK",0.184,0.944,0.222,3.1,38,321,54,239,61,203,34,339,"Rate"
"91","Dario Šarić","SAC",0.667,1,0.5,0.6,94,33,93,34,19,418,87,66,"Rate"
"92","Darius Garland","CLE",0.139,0.636,0.235,6.4,30,360,21,408,91,46,35,333,"Rate"
"93","Davion Mitchell","MIA",0.116,0.813,0,2.8,25,386,34,337,56,225,22,402,"Rate"
"94","Day'Ron Sharpe","BRK",0.348,1,0.375,0.8,72,146,93,35,21,407,60,207,"Rate"
"95","De'Aaron Fox","SAS",0.151,0.5,0.455,6.1,31,353,17,426,89,57,75,128,"Rate"
"96","De'Andre Hunter","CLE",0.2,0.818,0.343,5.8,43,294,35,333,87,68,51,251,"Rate"
"97","De'Anthony Melton","GSW",0.333,0.833,0.083,3.6,69,160,37,323,66,175,25,387,"Rate"
"98","DeMar DeRozan","SAC",0.403,0.885,0.517,2.2,78,112,43,294,48,269,89,57,"Rate"
"99","Dean Wade","CLE",0.371,0.975,0.391,3.8,75,127,65,179,67,168,62,195,"Rate"
"100","Deni Avdija","POR",0.087,0.844,0.526,6.4,19,414,38,320,91,47,90,52,"Rate"
"101","Dennis Schröder","SAC",0.147,0.711,0.375,4.2,31,354,25,386,71,147,60,208,"Rate"
"102","Derik Queen","NOP",0.265,0.714,0.222,1,55,229,25,387,24,390,34,340,"Rate"
"103","Derrick Jones Jr.","LAC",0.458,1,0.318,3.2,85,77,93,36,62,197,46,278,"Rate"
"104","Derrick White","BOS",0.113,0.634,0.364,9.4,22,402,20,410,99,4,54,234,"Rate"
"105","Desmond Bane","ORL",0.195,0.724,0.303,5,43,295,26,382,81,97,43,291,"Rate"
"106","Devin Booker","PHO",0.072,0.7,0.25,5.5,17,426,24,393,85,78,37,323,"Rate"
"107","Devin Carter","SAC",0.05,1,1,2,15,439,93,37,45,281,99,3,"Rate"
"108","Devin Vassell","SAS",0.214,0.929,0.354,7,44,286,51,253,94,33,52,245,"Rate"
"109","Dillon Brooks","PHO",0.156,0.831,0.3,7.1,33,343,37,324,95,26,43,292,"Rate"
"110","Domantas Sabonis","SAC",0.15,1,0.333,1.8,31,355,93,38,41,302,49,264,"Rate"
"111","Dominick Barlow","PHI",0.735,1,0.2,1.6,96,20,92,39,38,320,32,348,"Rate"
"112","Donovan Clingan","POR",0.128,0.962,0.2,2.6,27,375,61,202,52,246,32,349,"Rate"
"113","Donovan Mitchell","CLE",0.084,0.592,0.444,10,18,422,19,418,99,3,72,145,"Rate"
"114","Donte DiVincenzo","MIN",0.213,0.961,0.379,8,44,287,61,203,97,16,59,209,"Rate"
"115","Doug McDermott","SAC",0.313,1,0.8,3.2,64,185,92,41,61,198,97,16,"Rate"
"116","Drake Powell","BRK",0.238,0.867,0.2,2,52,249,41,304,45,282,32,350,"Rate"
"117","Draymond Green","GSW",0.314,1,0.395,4.3,64,186,92,42,73,139,64,186,"Rate"
"118","Drew Eubanks","SAC",1,1,0.5,0.1,99,3,92,43,11,459,87,67,"Rate"
"119","Dru Smith","MIA",0.325,0.88,0.36,2.3,66,176,43,295,49,261,54,235,"Rate"
"120","Duncan Robinson","DET",0.257,0.966,0.345,7.3,55,230,63,188,95,24,51,252,"Rate"
"121","Duop Reath","POR",0.372,0.947,0.5,1.7,75,128,57,222,40,310,87,68,"Rate"
"122","Dylan Harper","SAS",0.246,0.857,0.357,2.5,54,235,40,308,51,253,54,236,"Rate"
"123","Dyson Daniels","ATL",0.273,1,0.067,1.6,57,221,91,44,38,321,25,388,"Rate"
"124","E.J. Liddell","BRK",0.25,1,0.5,1.1,54,236,91,45,27,376,87,69,"Rate"
"125","Egor Dёmin","BRK",0.124,0.806,0.476,6.1,25,387,34,338,89,58,80,101,"Rate"
"126","Elijah Harkless","UTA",0.286,1,1,1,60,204,91,46,24,391,99,4,"Rate"
"127","Emanuel Miller","CHI",0.333,1,1,1.2,69,161,91,47,29,365,99,5,"Rate"
"128","Eric Gordon","PHI",0.143,1,1,2.3,30,361,91,48,49,262,99,6,"Rate"
"129","Ethan Thompson","IND",0.467,1,0.333,3.5,86,73,90,49,65,180,48,265,"Rate"
"130","Evan Mobley","CLE",0.105,0.868,0.25,3.9,21,408,41,305,68,167,37,324,"Rate"
"131","Franz Wagner","ORL",0.13,0.778,0.462,4.2,27,376,31,354,71,148,75,129,"Rate"
"132","GG Jackson II","MEM",0.407,1,0.364,2.1,80,105,90,50,47,273,54,237,"Rate"
"133","Gabe Vincent","LAL",0.298,0.882,0.5,3.4,62,195,42,296,64,184,86,70,"Rate"
"134","Garrett Temple","TOR",0.25,1,0,0.4,54,237,90,51,15,436,21,406,"Rate"
"135","Garrison Mathews","IND",0.37,1,0.471,3.1,75,129,90,52,60,204,78,111,"Rate"
"136","Gary Harris","MIL",0.69,1,0.5,1.2,95,27,90,53,29,366,86,71,"Rate"
"137","Gary Payton II","GSW",0.417,1,0.333,1.1,81,96,89,54,27,377,48,266,"Rate"
"138","Gary Trent Jr.","MIL",0.284,0.912,0.519,5.7,59,210,47,272,86,72,89,58,"Rate"
"139","Giannis Antetokounmpo","MIL",0.036,0.818,1,1.4,14,441,35,334,33,345,99,7,"Rate"
"140","Goga Bitadze","ORL",0.25,1,0.5,0.3,54,238,89,55,13,445,86,72,"Rate"
"141","Gradey Dick","TOR",0.364,1,0.5,2.8,73,137,89,56,56,226,86,73,"Rate"
"142","Grayson Allen","PHO",0.142,0.776,0.381,8.2,30,362,31,355,98,12,59,210,"Rate"
"143","Guerschon Yabusele","NYK",0.415,0.944,0.455,1.9,81,97,53,240,43,295,75,130,"Rate"
"144","Gui Santos","GSW",0.256,1,0.545,1.7,55,231,89,57,39,311,91,47,"Rate"
"145","Harrison Barnes","SAS",0.489,0.957,0.43,5.3,87,68,60,204,84,83,69,158,"Rate"
"146","Herbert Jones","NOP",0.356,0.968,0.344,4.1,73,138,63,189,70,152,51,253,"Rate"
"147","Hugo González","BOS",0.405,1,0.4,1.4,79,106,89,59,33,346,64,187,"Rate"
"148","Hunter Tyson","DEN",0.182,1,0,0.9,37,322,88,60,21,404,21,407,"Rate"
"149","Immanuel Quickley","TOR",0.115,0.821,0.222,6.9,25,388,35,335,93,37,34,341,"Rate"
"150","Isaac Okoro","CHI",0.635,0.964,0.383,3,92,39,60,205,59,212,59,211,"Rate"
"151","Isaiah Collier","UTA",0.31,0.909,0.333,1.2,64,187,47,273,29,367,48,267,"Rate"
"152","Isaiah Joe","OKC",0.305,0.969,0.5,6,62,196,63,190,88,60,86,74,"Rate"
"153","Isaiah Livers","PHO",0.423,1,0.273,1.6,81,98,88,61,37,322,39,311,"Rate"
"154","Isaiah Stewart","DET",0.472,1,0.441,2.4,86,74,88,62,50,258,72,146,"Rate"
"155","JD Davison","HOU",0.3,1,0,0.7,62,197,88,63,20,413,20,412,"Rate"
"156","Ja Morant","MEM",0.122,0.688,0.556,4.4,24,389,23,395,75,131,92,41,"Rate"
"157","Ja'Kobe Walter","TOR",0.37,1,0.486,3.1,75,130,88,64,60,205,81,97,"Rate"
"158","Jabari Smith Jr.","HOU",0.373,0.941,0.409,6.1,75,131,53,241,89,59,66,174,"Rate"
"159","Jabari Walker","PHI",0.415,1,0.294,1.4,81,99,87,65,32,347,42,299,"Rate"
"160","Jaden Hardy","DAL",0.275,0.731,0.316,2.9,59,211,26,378,57,220,46,279,"Rate"
"161","Jaden Ivey","DET",0.241,0.909,0.462,3,51,250,47,274,59,213,75,131,"Rate"
"162","Jaden McDaniels","MIN",0.454,0.933,0.469,3.4,84,83,51,254,64,185,78,112,"Rate"
"163","Jae'Sean Tate","HOU",0.462,0.8,0.5,0.7,85,78,34,341,19,414,85,75,"Rate"
"164","Jahmai Mashack","MEM",0.4,1,0.5,0.8,78,113,87,66,21,408,85,76,"Rate"
"165","Jahmir Young","MIA",0.4,1,0.5,1,78,114,87,67,24,393,85,77,"Rate"
"166","Jaime Jaquez Jr.","MIA",0.345,1,0.368,1.7,71,150,87,68,39,312,55,230,"Rate"
"167","Jake LaRavia","LAL",0.415,1,0.308,3,81,100,87,69,58,214,44,287,"Rate"
"168","Jalen Brunson","NYK",0.169,0.585,0.463,8.1,36,330,18,421,97,14,74,132,"Rate"
"169","Jalen Green","PHO",0.143,1,1,7,29,363,86,70,93,34,98,8,"Rate"
"170","Jalen Johnson","ATL",0.097,0.82,0.308,4.3,20,409,35,336,73,140,44,288,"Rate"
"171","Jalen Pickett","DEN",0.235,0.917,0.375,1.9,49,264,49,263,42,296,59,212,"Rate"
"172","Jalen Smith","CHI",0.217,1,0.478,3.8,47,274,86,71,67,169,80,102,"Rate"
"173","Jalen Suggs","ORL",0.129,0.86,0.412,6,27,377,40,309,88,61,66,175,"Rate"
"174","Jalen Williams","OKC",0.146,0.769,0.333,2.7,31,356,30,359,54,238,48,268,"Rate"
"175","Jalen Wilson","BRK",0.237,1,0.357,2.8,51,251,86,72,56,227,54,238,"Rate"
"176","Jamal Cain","ORL",0.692,1,0.222,1.2,95,28,86,73,28,368,33,342,"Rate"
"177","Jamal Murray","DEN",0.07,0.5,0.294,7.6,17,427,17,427,96,21,42,300,"Rate"
"178","Jamal Shead","TOR",0.167,0.897,0.2,3.4,36,331,45,281,64,186,32,351,"Rate"
"179","Jamaree Bouyea","PHO",0.324,0.625,0.5,2.2,66,177,20,412,47,270,85,78,"Rate"
"180","James Harden","LAC",0.057,0.408,0.188,9.4,16,431,16,432,99,5,30,361,"Rate"
"181","Jamir Watkins","WAS",0.588,1,0.3,1.2,91,44,86,74,28,369,43,293,"Rate"
"182","Jamison Battle","TOR",0.375,1,0.417,1.3,77,120,85,75,31,356,68,167,"Rate"
"183","Jarace Walker","IND",0.184,0.917,0.393,4.5,37,323,49,264,76,125,62,196,"Rate"
"184","Jared McCain","PHI",0.238,0.846,0.421,3.6,51,252,39,314,66,176,67,168,"Rate"
"185","Jaren Jackson Jr.","MEM",0.222,0.962,0.438,4.6,46,275,60,206,77,119,71,147,"Rate"
"186","Jarred Vanderbilt","LAL",0.97,0.929,0.438,1.5,97,15,50,255,34,337,71,148,"Rate"
"187","Jarrett Allen","CLE",0.667,1,0,0.3,93,34,85,76,13,448,19,414,"Rate"
"188","Jase Richardson","ORL",0.297,0.929,0.636,1.6,61,198,50,256,37,323,95,26,"Rate"
"189","Javon Small","MEM",0.042,0.714,1,2.2,14,442,25,388,47,271,98,9,"Rate"
"190","Javonte Green","DET",0.356,1,0.469,2.7,73,139,85,77,54,239,78,113,"Rate"
"191","Jay Huff","IND",0.124,1,0.158,4.5,24,390,85,79,75,126,27,373,"Rate"
"192","Jaylen Brown","BOS",0.091,0.475,0.467,5.5,19,415,17,429,85,79,78,114,"Rate"
"193","Jaylen Clark","MIN",0.679,1,0.333,1.7,94,30,84,80,39,313,48,269,"Rate"
"194","Jaylen Wells","MEM",0.339,0.948,0.393,5,71,151,57,223,81,98,62,197,"Rate"
"195","Jaylin Williams","OKC",0.235,1,0.167,4.1,48,265,84,81,70,153,29,366,"Rate"
"196","Jaylon Tyson","CLE",0.485,1,0.444,4.3,87,69,84,82,73,141,71,149,"Rate"
"197","Jeff Green","HOU",0.313,1,0.6,1.1,63,188,84,83,26,378,94,30,"Rate"
"198","Jerami Grant","POR",0.359,0.985,0.45,6.4,73,140,65,180,91,48,73,141,"Rate"
"199","Jeremiah Fears","NOP",0.105,0.6,0.364,3,20,410,19,415,58,215,54,239,"Rate"
"200","Jeremiah Robinson-Earl","IND",0.485,1,0.188,1.9,86,70,84,84,42,297,30,362,"Rate"
"201","Jeremy Sochan","SAS",0.423,1,0.455,1.2,80,101,83,85,28,370,74,133,"Rate"
"202","Jett Howard","ORL",0.215,0.955,0.357,2.8,46,276,60,207,56,228,53,240,"Rate"
"203","Jevon Carter","CHI",0.333,0.8,0.45,3.8,68,162,33,342,67,170,72,142,"Rate"
"204","Jimmy Butler","GSW",0.443,0.68,0.444,2,84,84,23,397,45,284,71,150,"Rate"
"205","Jock Landale","MEM",0.198,0.971,0.471,2.8,42,296,63,191,55,229,78,115,"Rate"
"206","Joel Embiid","PHI",0.031,0.875,0,4.6,13,446,42,297,77,120,19,415,"Rate"
"207","John Collins","LAC",0.656,1,0.377,3,93,36,83,86,58,216,59,213,"Rate"
"208","John Konchar","MEM",0.536,1,0.333,1.3,90,49,83,87,31,357,47,270,"Rate"
"209","Johnny Furphy","IND",0.5,1,0.308,1.6,88,61,83,88,37,324,44,289,"Rate"
"210","Johnny Juzang","MIN",0.429,0.6,0.167,1.2,83,88,19,416,28,371,29,367,"Rate"
"211","Jonathan Isaac","ORL",0.667,1,0.25,1,93,35,82,90,23,395,37,325,"Rate"
"212","Jonathan Kuminga","GSW",0.34,0.938,0.353,2.8,70,152,53,242,55,230,52,246,"Rate"
"213","Jordan Clarkson","NYK",0.41,0.939,0.333,4.2,79,107,53,243,71,149,47,271,"Rate"
"214","Jordan Goodwin","PHO",0.306,0.854,0.342,4.1,63,189,39,315,70,154,51,254,"Rate"
"215","Jordan Hawkins","NOP",0.184,0.92,0.643,2.9,37,324,48,265,57,221,95,27,"Rate"
"216","Jordan McLaughlin","SAS",0.375,1,0.167,1.1,76,121,82,91,26,379,28,368,"Rate"
"217","Jordan Miller","LAC",0.294,1,0.2,1.5,60,205,82,92,34,338,32,352,"Rate"
"218","Jordan Poole","NOP",0.119,0.725,0.563,8.4,24,391,25,383,98,10,92,42,"Rate"
"219","Jordan Walsh","BOS",0.412,1,0.429,1.9,79,108,82,93,42,298,69,159,"Rate"
"220","Jose Alvarado","NOP",0.27,0.679,0.342,4.4,57,222,23,398,74,132,50,255,"Rate"
"221","Josh Giddey","CHI",0.145,0.857,0.381,4.8,29,364,40,310,79,107,58,214,"Rate"
"222","Josh Green","CHO",0.71,1,0.5,3.4,96,22,82,94,64,187,85,79,"Rate"
"223","Josh Hart","NYK",0.336,0.864,0.474,4,70,153,39,311,68,162,77,116,"Rate"
"224","Josh Minott","BOS",0.333,0.969,0.375,2.6,68,164,63,192,52,247,58,215,"Rate"
"225","Josh Okogie","HOU",0.623,1,0.396,2.6,92,40,82,95,52,248,63,188,"Rate"
"226","Jrue Holiday","POR",0.129,0.452,0.455,7.1,26,378,16,430,95,27,74,134,"Rate"
"227","Julian Champagnie","SAS",0.376,0.961,0.351,6.2,76,122,60,208,89,54,52,247,"Rate"
"228","Julian Phillips","CHI",0.71,1,0.318,1.3,96,23,81,96,30,358,46,280,"Rate"
"229","Julian Strawther","DEN",0.36,1,0.222,1.6,73,141,81,97,37,325,33,343,"Rate"
"230","Julius Randle","MIN",0.247,0.833,0.325,4.8,54,239,37,325,79,108,45,281,"Rate"
"231","Justin Champagnie","WAS",0.34,1,0.222,1.8,70,154,81,98,41,303,33,344,"Rate"
"232","Justin Edwards","PHI",0.204,0.935,0.316,3.3,42,297,53,244,63,192,45,282,"Rate"
"233","Jusuf Nurkić","UTA",0.044,1,0.5,1.6,14,443,81,99,37,326,84,80,"Rate"
"234","KJ Simpson","CHO",0.154,0.75,0.5,2.8,31,357,28,368,55,231,84,81,"Rate"
"235","Kam Jones","IND",0.5,1,0,0.8,88,62,81,100,20,409,19,417,"Rate"
"236","Karl-Anthony Towns","NYK",0.039,0.964,0.667,4.9,14,444,59,209,80,101,96,19,"Rate"
"237","Karlo Matković","NOP",0.278,1,0.6,0.8,59,212,80,101,20,410,94,31,"Rate"
"238","Kasparas Jakučionis","MIA",0.429,1,0.667,2.6,83,89,80,102,52,249,96,20,"Rate"
"239","Kawhi Leonard","LAC",0.124,0.661,0.333,6.6,24,392,21,404,92,42,47,272,"Rate"
"240","Keaton Wallace","ATL",0.088,0.893,0.5,2.3,19,416,44,290,49,263,84,82,"Rate"
"241","Keegan Murray","SAC",0.175,1,0.143,5,35,332,80,103,81,99,27,377,"Rate"
"242","Kel'el Ware","MIA",0.308,1,0.5,2.8,63,190,80,104,55,232,84,83,"Rate"
"243","Keldon Johnson","SAS",0.495,0.921,0.391,2.8,88,63,48,266,55,233,61,198,"Rate"
"244","Kelly Olynyk","SAS",0.2,1,0.6,1.3,42,298,80,105,30,359,94,32,"Rate"
"245","Kelly Oubre Jr.","PHI",0.239,0.957,0.5,5.6,51,253,59,210,85,77,84,84,"Rate"
"246","Kenrich Williams","OKC",0.241,0.909,0.429,2.1,51,254,46,275,47,274,69,160,"Rate"
"247","Kentavious Caldwell-Pope","MEM",0.191,0.846,0.381,3.4,40,309,39,316,63,188,58,216,"Rate"
"248","Keon Ellis","SAC",0.269,0.944,0.357,3.4,57,223,52,245,63,189,53,241,"Rate"
"249","Keshad Johnson","MIA",0.333,0.8,0.333,1.3,68,165,33,343,30,360,47,273,"Rate"
"250","Kevin Durant","HOU",0.052,0.729,0.429,4.8,14,440,26,379,79,109,69,161,"Rate"
"251","Kevin Huerter","CHI",0.236,0.957,0.441,5.1,50,255,59,211,82,93,71,151,"Rate"
"252","Kevin Love","UTA",0.165,1,0.538,4.2,33,344,79,106,71,150,91,48,"Rate"
"253","Kevin McCullar Jr.","NYK",0.333,0.8,0.333,1.5,68,166,33,344,34,339,47,274,"Rate"
"254","Kevin Porter Jr.","MIL",0.213,0.594,0.471,5.3,44,288,18,419,84,84,77,117,"Rate"
"255","Kevon Looney","NOP",0.125,1,0,0.6,24,393,79,107,18,419,19,418,"Rate"
"256","Keyonte George","UTA",0.132,0.718,0.4,7.1,26,379,25,384,95,28,63,189,"Rate"
"257","Khris Middleton","WAS",0.204,0.688,0.3,2.3,42,299,23,396,49,264,43,294,"Rate"
"258","Klay Thompson","DAL",0.229,0.941,0.382,7.7,48,266,52,246,96,19,58,217,"Rate"
"259","Kobe Brown","LAC",0.357,1,0.267,2,72,142,79,108,45,285,39,312,"Rate"
"260","Kobe Sanders","LAC",0.397,1,0.478,2.4,78,115,79,109,50,259,80,103,"Rate"
"261","Kon Knueppel","CHO",0.225,0.94,0.492,8.5,46,277,52,247,98,9,81,98,"Rate"
"262","Kris Dunn","LAC",0.368,1,0.543,3,74,132,79,110,58,217,90,49,"Rate"
"263","Kris Murray","POR",0.567,1,0.263,2.2,91,47,78,111,47,272,38,317,"Rate"
"264","Kristaps Porziņģis","ATL",0.157,1,0.636,5,33,345,78,112,81,100,95,28,"Rate"
