"","V2","V4","Short2 Usage","2s Assisted","Short 2P%","2PA","Short2Usage_percentile","Short2Usage_ranking","Assisted2s_percentile","Assisted2s_ranking","Attempted2s_percentile","Attempted2s_ranking","Short2_FGPct_percentile","Short2_FGPct_ranking","Temp"
"1147","Isaiah Joe","OKC",1.2,1.2,1.2,16.4,105,540,105,543,105,550,105,539,"High"
"1148","Isaiah Livers","PHO",1.2,1.2,1.2,16.4,105,540,105,543,105,550,105,539,"High"
"1149","Isaiah Stewart","DET",1.2,1.2,1.2,16.4,105,540,105,543,105,550,105,539,"High"
"1150","Ivica Zubac","LAC",1.2,1.2,1.2,16.4,105,540,105,543,105,550,105,539,"High"
"1151","JD Davison","HOU",1.2,1.2,1.2,16.4,105,540,105,543,105,550,105,539,"High"
"1152","Ja Morant","MEM",1.2,1.2,1.2,16.4,105,540,105,543,105,550,105,539,"High"
"1153","Ja'Kobe Walter","TOR",1.2,1.2,1.2,16.4,105,540,105,543,105,550,105,539,"High"
"1154","Jabari Smith Jr.","HOU",1.2,1.2,1.2,16.4,105,540,105,543,105,550,105,539,"High"
"1155","Jabari Walker","PHI",1.2,1.2,1.2,16.4,105,540,105,543,105,550,105,539,"High"
"1156","Jacob Toppin","ATL",1.2,1.2,1.2,16.4,105,540,105,543,105,550,105,539,"High"
"1157","Jaden Hardy","DAL",1.2,1.2,1.2,16.4,105,540,105,543,105,550,105,539,"High"
"1158","Jaden Ivey","DET",1.2,1.2,1.2,16.4,105,540,105,543,105,550,105,539,"High"
"1159","Jaden McDaniels","MIN",1.2,1.2,1.2,16.4,105,540,105,543,105,550,105,539,"High"
"1160","Jae'Sean Tate","HOU",1.2,1.2,1.2,16.4,105,540,105,543,105,550,105,539,"High"
"1161","Jahmir Young","MIA",1.2,1.2,1.2,16.4,105,540,105,543,105,550,105,539,"High"
"1162","Jaime Jaquez Jr.","MIA",1.2,1.2,1.2,16.4,105,540,105,543,105,550,105,539,"High"
"1163","Jake LaRavia","LAL",1.2,1.2,1.2,16.4,105,540,105,543,105,550,105,539,"High"
"1164","Jakob Poeltl","TOR",1.2,1.2,1.2,16.4,105,540,105,543,105,550,105,539,"High"
"1165","Jalen Brunson","NYK",1.2,1.2,1.2,16.4,105,540,105,543,105,550,105,539,"High"
"1166","Jalen Duren","DET",1.2,1.2,1.2,16.4,105,540,105,543,105,550,105,539,"High"
"1167","Jalen Green","PHO",1.2,1.2,1.2,16.4,105,540,105,543,105,550,105,539,"High"
"1168","Jalen Johnson","ATL",1.2,1.2,1.2,16.4,105,540,105,543,105,550,105,539,"High"
"1169","Jalen Pickett","DEN",1.2,1.2,1.2,16.4,105,540,105,543,105,550,105,539,"High"
"1170","Jalen Smith","CHI",1.2,1.2,1.2,16.4,105,540,105,543,105,550,105,539,"High"
"1171","Jalen Suggs","ORL",1.2,1.2,1.2,16.4,105,540,105,543,105,550,105,539,"High"
"1172","Jalen Williams","OKC",1.2,1.2,1.2,16.4,105,540,105,543,105,550,105,539,"High"
"1173","Jalen Wilson","BRK",1.2,1.2,1.2,16.4,105,540,105,543,105,550,105,539,"High"
"1174","Jamal Cain","ORL",1.2,1.2,1.2,16.4,105,540,105,543,105,550,105,539,"High"
"1175","Jamal Murray","DEN",1.2,1.2,1.2,16.4,105,540,105,543,105,550,105,539,"High"
"1176","Jamal Shead","TOR",1.2,1.2,1.2,16.4,105,540,105,543,105,550,105,539,"High"
"1177","Jamaree Bouyea","PHO",1.2,1.2,1.2,16.4,105,540,105,543,105,550,105,539,"High"
"1178","James Harden","LAC",1.2,1.2,1.2,16.4,105,540,105,543,105,550,105,539,"High"
"1179","James Wiseman","IND",1.2,1.2,1.2,16.4,105,540,105,543,105,550,105,539,"High"
"1180","Jamir Watkins","WAS",1.2,1.2,1.2,16.4,105,540,105,543,105,550,105,539,"High"
"1181","Jamison Battle","TOR",1.2,1.2,1.2,16.4,105,540,105,543,105,550,105,539,"High"
"1182","Jarace Walker","IND",1.2,1.2,1.2,16.4,105,540,105,543,105,550,105,539,"High"
"1183","Jared McCain","PHI",1.2,1.2,1.2,16.4,105,540,105,543,105,550,105,539,"High"
"1184","Jaren Jackson Jr.","MEM",1.2,1.2,1.2,16.4,105,540,105,543,105,550,105,539,"High"
"1185","Jarred Vanderbilt","LAL",1.2,1.2,1.2,16.4,105,540,105,543,105,550,105,539,"High"
"1186","Jarrett Allen","CLE",1.2,1.2,1.2,16.4,105,540,105,543,105,550,105,539,"High"
"1187","Jase Richardson","ORL",1.2,1.2,1.2,16.4,105,540,105,543,105,550,105,539,"High"
"1188","Javon Small","MEM",1.2,1.2,1.2,16.4,105,540,105,543,105,550,105,539,"High"
"1189","Javonte Cooke","POR",1.2,1.2,1.2,16.4,105,540,105,543,105,550,105,539,"High"
"1190","Javonte Green","DET",1.2,1.2,1.2,16.4,105,540,105,543,105,550,105,539,"High"
"1191","Jaxson Hayes","LAL",1.2,1.2,1.2,16.4,105,540,105,543,105,550,105,539,"High"
"1192","Jay Huff","IND",1.2,1.2,1.2,16.4,105,540,105,543,105,550,105,539,"High"
"1193","Jaylen Brown","BOS",1.2,1.2,1.2,16.4,105,540,105,543,105,550,105,539,"High"
"1194","Jaylen Clark","MIN",1.2,1.2,1.2,16.4,105,540,105,543,105,550,105,539,"High"
"1195","Jaylen Wells","MEM",1.2,1.2,1.2,16.4,105,540,105,543,105,550,105,539,"High"
"1196","Jaylin Williams","OKC",1.2,1.2,1.2,16.4,105,540,105,543,105,550,105,539,"High"
"1197","Jaylon Tyson","CLE",1.2,1.2,1.2,16.4,105,540,105,543,105,550,105,539,"High"
"1198","Jeff Green","HOU",1.2,1.2,1.2,16.4,105,540,105,543,105,550,105,539,"High"
"1199","Jerami Grant","POR",1.2,1.2,1.2,16.4,105,540,105,543,105,550,105,539,"High"
"1200","Jeremiah Fears","NOP",1.2,1.2,1.2,16.4,105,540,105,543,105,550,105,539,"High"
"1201","Jeremiah Robinson-Earl","IND",1.2,1.2,1.2,16.4,105,540,105,543,105,550,105,539,"High"
"1202","Jeremy Sochan","SAS",1.2,1.2,1.2,16.4,105,540,105,543,105,550,105,539,"High"
"1203","Jericho Sims","MIL",1.2,1.2,1.2,16.4,105,540,105,543,105,550,105,539,"High"
"1204","Jett Howard","ORL",1.2,1.2,1.2,16.4,105,540,105,543,105,550,105,539,"High"
"1205","Jevon Carter","CHI",1.2,1.2,1.2,16.4,105,540,105,543,105,550,105,539,"High"
"1206","Jimmy Butler","GSW",1.2,1.2,1.2,16.4,105,540,105,543,105,550,105,539,"High"
"1207","Joan Beringer","MIN",1.2,1.2,1.2,16.4,105,540,105,543,105,550,105,539,"High"
"1208","Jock Landale","MEM",1.2,1.2,1.2,16.4,105,540,105,543,105,550,105,539,"High"
"1209","Joel Embiid","PHI",1.2,1.2,1.2,16.4,105,540,105,543,105,550,105,539,"High"
"1210","John Collins","LAC",1.2,1.2,1.2,16.4,105,540,105,543,105,550,105,539,"High"
"1211","John Konchar","MEM",1.2,1.2,1.2,16.4,105,540,105,543,105,550,105,539,"High"
"1212","Johni Broome","PHI",1.2,1.2,1.2,16.4,105,540,105,543,105,550,105,539,"High"
"1213","Johnny Furphy","IND",1.2,1.2,1.2,16.4,105,540,105,543,105,550,105,539,"High"
"1214","Johnny Juzang","MIN",1.2,1.2,1.2,16.4,105,540,105,543,105,550,105,539,"High"
"1215","Jonas Valančiūnas","DEN",1.2,1.2,1.2,16.4,105,540,105,543,105,550,105,539,"High"
"1216","Jonathan Isaac","ORL",1.2,1.2,1.2,16.4,105,540,105,543,105,550,105,539,"High"
"1217","Jonathan Kuminga","GSW",1.2,1.2,1.2,16.4,105,540,105,543,105,550,105,539,"High"
"1218","Jonathan Mogbo","TOR",1.2,1.2,1.2,16.4,105,540,105,543,105,550,105,539,"High"
"1219","Jordan Clarkson","NYK",1.2,1.2,1.2,16.4,105,540,105,543,105,550,105,539,"High"
"1220","Jordan Goodwin","PHO",1.2,1.2,1.2,16.4,105,540,105,543,105,550,105,539,"High"
"1221","Jordan Hawkins","NOP",1.2,1.2,1.2,16.4,105,540,105,543,105,550,105,539,"High"
"1222","Jordan McLaughlin","SAS",1.2,1.2,1.2,16.4,105,540,105,543,105,550,105,539,"High"
"1223","Jordan Miller","LAC",1.2,1.2,1.2,16.4,105,540,105,543,105,550,105,539,"High"
"1224","Jordan Poole","NOP",1.2,1.2,1.2,16.4,105,540,105,543,105,550,105,539,"High"
"1225","Jordan Walsh","BOS",1.2,1.2,1.2,16.4,105,540,105,543,105,550,105,539,"High"
"1226","Jose Alvarado","NOP",1.2,1.2,1.2,16.4,105,540,105,543,105,550,105,539,"High"
"1227","Josh Giddey","CHI",1.2,1.2,1.2,16.4,105,540,105,543,105,550,105,539,"High"
"1228","Josh Green","CHO",1.2,1.2,1.2,16.4,105,540,105,543,105,550,105,539,"High"
"1229","Josh Hart","NYK",1.2,1.2,1.2,16.4,105,540,105,543,105,550,105,539,"High"
"1230","Josh Minott","BOS",1.2,1.2,1.2,16.4,105,540,105,543,105,550,105,539,"High"
"1231","Josh Okogie","HOU",1.2,1.2,1.2,16.4,105,540,105,543,105,550,105,539,"High"
"1232","Jrue Holiday","POR",1.2,1.2,1.2,16.4,105,540,105,543,105,550,105,539,"High"
"1233","Julian Champagnie","SAS",1.2,1.2,1.2,16.4,105,540,105,543,105,550,105,539,"High"
"1234","Julian Phillips","CHI",1.2,1.2,1.2,16.4,105,540,105,543,105,550,105,539,"High"
"1235","Julian Strawther","DEN",1.2,1.2,1.2,16.4,105,540,105,543,105,550,105,539,"High"
"1236","Julius Randle","MIN",1.2,1.2,1.2,16.4,105,540,105,543,105,550,105,539,"High"
"1237","Justin Champagnie","WAS",1.2,1.2,1.2,16.4,105,540,105,543,105,550,105,539,"High"
"1238","Justin Edwards","PHI",1.2,1.2,1.2,16.4,105,540,105,543,105,550,105,539,"High"
"1239","Jusuf Nurkić","UTA",1.2,1.2,1.2,16.4,105,540,105,543,105,550,105,539,"High"
"1240","KJ Simpson","CHO",1.2,1.2,1.2,16.4,105,540,105,543,105,550,105,539,"High"
"1241","Kam Jones","IND",1.2,1.2,1.2,16.4,105,540,105,543,105,550,105,539,"High"
"1242","Karl-Anthony Towns","NYK",1.2,1.2,1.2,16.4,105,540,105,543,105,550,105,539,"High"
"1243","Karlo Matković","NOP",1.2,1.2,1.2,16.4,105,540,105,543,105,550,105,539,"High"
"1244","Kasparas Jakučionis","MIA",1.2,1.2,1.2,16.4,105,540,105,543,105,550,105,539,"High"
"1245","Kawhi Leonard","LAC",1.2,1.2,1.2,16.4,105,540,105,543,105,550,105,539,"High"
"1246","Keaton Wallace","ATL",1.2,1.2,1.2,16.4,105,540,105,543,105,550,105,539,"High"
"1247","Keegan Murray","SAC",1.2,1.2,1.2,16.4,105,540,105,543,105,550,105,539,"High"
"1248","Kel'el Ware","MIA",1.2,1.2,1.2,16.4,105,540,105,543,105,550,105,539,"High"
"1249","Keldon Johnson","SAS",1.2,1.2,1.2,16.4,105,540,105,543,105,550,105,539,"High"
"1250","Kelly Olynyk","SAS",1.2,1.2,1.2,16.4,105,540,105,543,105,550,105,539,"High"
"1251","Kelly Oubre Jr.","PHI",1.2,1.2,1.2,16.4,105,540,105,543,105,550,105,539,"High"
"1252","Kenrich Williams","OKC",1.2,1.2,1.2,16.4,105,540,105,543,105,550,105,539,"High"
"1253","Kentavious Caldwell-Pope","MEM",1.2,1.2,1.2,16.4,105,540,105,543,105,550,105,539,"High"
"1254","Keon Ellis","SAC",1.2,1.2,1.2,16.4,105,540,105,543,105,550,105,539,"High"
"1255","Keshad Johnson","MIA",1.2,1.2,1.2,16.4,105,540,105,543,105,550,105,539,"High"
"1256","Kevin Durant","HOU",1.2,1.2,1.2,16.4,105,540,105,543,105,550,105,539,"High"
"1257","Kevin Huerter","CHI",1.2,1.2,1.2,16.4,105,540,105,543,105,550,105,539,"High"
"1258","Kevin Love","UTA",1.2,1.2,1.2,16.4,105,540,105,543,105,550,105,539,"High"
"1259","Kevin McCullar Jr.","NYK",1.2,1.2,1.2,16.4,105,540,105,543,105,550,105,539,"High"
"1260","Kevin Porter Jr.","MIL",1.2,1.2,1.2,16.4,105,540,105,543,105,550,105,539,"High"
"1261","Kevon Looney","NOP",1.2,1.2,1.2,16.4,105,540,105,543,105,550,105,539,"High"
"1262","Keyonte George","UTA",1.2,1.2,1.2,16.4,105,540,105,543,105,550,105,539,"High"
"1263","Khaman Maluach","PHO",1.2,1.2,1.2,16.4,105,540,105,543,105,550,105,539,"High"
"1264","Khris Middleton","WAS",1.2,1.2,1.2,16.4,105,540,105,543,105,550,105,539,"High"
"1265","Klay Thompson","DAL",1.2,1.2,1.2,16.4,105,540,105,543,105,550,105,539,"High"
"1266","Kobe Brown","LAC",1.2,1.2,1.2,16.4,105,540,105,543,105,550,105,539,"High"
"1267","Kobe Sanders","LAC",1.2,1.2,1.2,16.4,105,540,105,543,105,550,105,539,"High"
"1268","Koby Brea","PHO",1.2,1.2,1.2,16.4,105,540,105,543,105,550,105,539,"High"
"1269","Kon Knueppel","CHO",1.2,1.2,1.2,16.4,105,540,105,543,105,550,105,539,"High"
"1270","Kris Dunn","LAC",1.2,1.2,1.2,16.4,105,540,105,543,105,550,105,539,"High"
"1271","Kris Murray","POR",1.2,1.2,1.2,16.4,105,540,105,543,105,550,105,539,"High"
"1272","Kristaps Porziņģis","ATL",1.2,1.2,1.2,16.4,105,540,105,543,105,550,105,539,"High"
"1273","Kyle Anderson","UTA",1.2,1.2,1.2,16.4,105,540,105,543,105,550,105,539,"High"
"1274","Kyle Filipowski","UTA",1.2,1.2,1.2,16.4,105,540,105,543,105,550,105,539,"High"
"1275","Kyle Kuzma","MIL",1.2,1.2,1.2,16.4,105,540,105,543,105,550,105,539,"High"
"1276","Kyshawn George","WAS",1.2,1.2,1.2,16.4,105,540,105,543,105,550,105,539,"High"
"1277","LaMelo Ball","CHO",1.2,1.2,1.2,16.4,105,540,105,543,105,550,105,539,"High"
"1278","Lachlan Olbrich","CHI",1.2,1.2,1.2,16.4,105,540,105,543,105,550,105,539,"High"
"1279","Landry Shamet","NYK",1.2,1.2,1.2,16.4,105,540,105,543,105,550,105,539,"High"
"1280","Larry Nance Jr.","CLE",1.2,1.2,1.2,16.4,105,540,105,543,105,550,105,539,"High"
"1281","Lauri Markkanen","UTA",1.2,1.2,1.2,16.4,105,540,105,543,105,550,105,539,"High"
"1282","LeBron James","LAL",1.2,1.2,1.2,16.4,105,540,105,543,105,550,105,539,"High"
"1283","Leonard Miller","MIN",1.2,1.2,1.2,16.4,105,540,105,543,105,550,105,539,"High"
"1284","Liam McNeeley","CHO",1.2,1.2,1.2,16.4,105,540,105,543,105,550,105,539,"High"
"1285","Lindy Waters III","SAS",1.2,1.2,1.2,16.4,105,540,105,543,105,550,105,539,"High"
"1286","Lonzo Ball","CLE",1.2,1.2,1.2,16.4,105,540,105,543,105,550,105,539,"High"
"1287","Luguentz Dort","OKC",1.2,1.2,1.2,16.4,105,540,105,543,105,550,105,539,"High"
"1288","Luka Dončić","LAL",1.2,1.2,1.2,16.4,105,540,105,543,105,550,105,539,"High"
"1289","Luka Garza","BOS",1.2,1.2,1.2,16.4,105,540,105,543,105,550,105,539,"High"
"1290","Luke Kennard","ATL",1.2,1.2,1.2,16.4,105,540,105,543,105,550,105,539,"High"
"1291","Luke Kornet","SAS",1.2,1.2,1.2,16.4,105,540,105,543,105,550,105,539,"High"
"1292","Luke Travers","CLE",1.2,1.2,1.2,16.4,105,540,105,543,105,550,105,539,"High"
"1293","Mac McClung","IND",1.2,1.2,1.2,16.4,105,540,105,543,105,550,105,539,"High"
"1294","Malaki Branham","WAS",1.2,1.2,1.2,16.4,105,540,105,543,105,550,105,539,"High"
"1295","Malik Monk","SAC",1.2,1.2,1.2,16.4,105,540,105,543,105,550,105,539,"High"
"1296","Marcus Sasser","DET",1.2,1.2,1.2,16.4,105,540,105,543,105,550,105,539,"High"
"1297","Marcus Smart","LAL",1.2,1.2,1.2,16.4,105,540,105,543,105,550,105,539,"High"
"1298","Mark Sears","MIL",1.2,1.2,1.2,16.4,105,540,105,543,105,550,105,539,"High"
"1299","Mark Williams","PHO",1.2,1.2,1.2,16.4,105,540,105,543,105,550,105,539,"High"
"1300","Marvin Bagley III","WAS",1.2,1.2,1.2,16.4,105,540,105,543,105,550,105,539,"High"
"1301","Mason Plumlee","CHO",1.2,1.2,1.2,16.4,105,540,105,543,105,550,105,539,"High"
"1302","Matas Buzelis","CHI",1.2,1.2,1.2,16.4,105,540,105,543,105,550,105,539,"High"
"1303","Matisse Thybulle","POR",1.2,1.2,1.2,16.4,105,540,105,543,105,550,105,539,"High"
"1304","Max Christie","DAL",1.2,1.2,1.2,16.4,105,540,105,543,105,550,105,539,"High"
"1305","Maxi Kleber","LAL",1.2,1.2,1.2,16.4,105,540,105,543,105,550,105,539,"High"
"1306","Maxime Raynaud","SAC",1.2,1.2,1.2,16.4,105,540,105,543,105,550,105,539,"High"
"1307","Micah Peavy","NOP",1.2,1.2,1.2,16.4,105,540,105,543,105,550,105,539,"High"
"1308","Micah Potter","IND",1.2,1.2,1.2,16.4,105,540,105,543,105,550,105,539,"High"
"1309","Michael Porter Jr.","BRK",1.2,1.2,1.2,16.4,105,540,105,543,105,550,105,539,"High"
"1310","Mikal Bridges","NYK",1.2,1.2,1.2,16.4,105,540,105,543,105,550,105,539,"High"
"1311","Mike Conley","MIN",1.2,1.2,1.2,16.4,105,540,105,543,105,550,105,539,"High"
"1312","Miles Bridges","CHO",1.2,1.2,1.2,16.4,105,540,105,543,105,550,105,539,"High"
"1313","Miles McBride","NYK",1.2,1.2,1.2,16.4,105,540,105,543,105,550,105,539,"High"
"1314","Mitchell Robinson","NYK",1.2,1.2,1.2,16.4,105,540,105,543,105,550,105,539,"High"
"1315","Mohamed Diawara","NYK",1.2,1.2,1.2,16.4,105,540,105,543,105,550,105,539,"High"
"1316","Monte Morris","IND",1.2,1.2,1.2,16.4,105,540,105,543,105,550,105,539,"High"
"1317","Moses Moody","GSW",1.2,1.2,1.2,16.4,105,540,105,543,105,550,105,539,"High"
"1318","Mouhamed Gueye","ATL",1.2,1.2,1.2,16.4,105,540,105,543,105,550,105,539,"High"
"1319","Moussa Cisse","DAL",1.2,1.2,1.2,16.4,105,540,105,543,105,550,105,539,"High"
"1320","Moussa Diabaté","CHO",1.2,1.2,1.2,16.4,105,540,105,543,105,550,105,539,"High"
"1321","Myles Turner","MIL",1.2,1.2,1.2,16.4,105,540,105,543,105,550,105,539,"High"
"1322","Myron Gardner","MIA",1.2,1.2,1.2,16.4,105,540,105,543,105,550,105,539,"High"
"1323","N'Faly Dante","ATL",1.2,1.2,1.2,16.4,105,540,105,543,105,550,105,539,"High"
"1324","Nae'Qwan Tomlin","CLE",1.2,1.2,1.2,16.4,105,540,105,543,105,550,105,539,"High"
"1325","Naji Marshall","DAL",1.2,1.2,1.2,16.4,105,540,105,543,105,550,105,539,"High"
"1326","Naz Reid","MIN",1.2,1.2,1.2,16.4,105,540,105,543,105,550,105,539,"High"
"1327","Neemias Queta","BOS",1.2,1.2,1.2,16.4,105,540,105,543,105,550,105,539,"High"
"1328","Nic Claxton","BRK",1.2,1.2,1.2,16.4,105,540,105,543,105,550,105,539,"High"
"1329","Nick Richards","PHO",1.2,1.2,1.2,16.4,105,540,105,543,105,550,105,539,"High"
"1330","Nick Smith Jr.","LAL",1.2,1.2,1.2,16.4,105,540,105,543,105,550,105,539,"High"
"1331","Nickeil Alexander-Walker","ATL",1.2,1.2,1.2,16.4,105,540,105,543,105,550,105,539,"High"
"1332","Nicolas Batum","LAC",1.2,1.2,1.2,16.4,105,540,105,543,105,550,105,539,"High"
"1333","Nigel Hayes-Davis","PHO",1.2,1.2,1.2,16.4,105,540,105,543,105,550,105,539,"High"
"1334","Nikola Jokić","DEN",1.2,1.2,1.2,16.4,105,540,105,543,105,550,105,539,"High"
"1335","Nikola Jović","MIA",1.2,1.2,1.2,16.4,105,540,105,543,105,550,105,539,"High"
"1336","Nikola Vučević","CHI",1.2,1.2,1.2,16.4,105,540,105,543,105,550,105,539,"High"
"1337","Nique Clifford","SAC",1.2,1.2,1.2,16.4,105,540,105,543,105,550,105,539,"High"
"1338","Noah Clowney","BRK",1.2,1.2,1.2,16.4,105,540,105,543,105,550,105,539,"High"
"1339","Noah Penda","ORL",1.2,1.2,1.2,16.4,105,540,105,543,105,550,105,539,"High"
"1340","Nolan Traoré","BRK",1.2,1.2,1.2,16.4,105,540,105,543,105,550,105,539,"High"
"1341","Norman Powell","MIA",1.2,1.2,1.2,16.4,105,540,105,543,105,550,105,539,"High"
"1342","OG Anunoby","NYK",1.2,1.2,1.2,16.4,105,540,105,543,105,550,105,539,"High"
"1343","Obi Toppin","IND",1.2,1.2,1.2,16.4,105,540,105,543,105,550,105,539,"High"
"1344","Ochai Agbaji","TOR",1.2,1.2,1.2,16.4,105,540,105,543,105,550,105,539,"High"
"1345","Olivier-Maxence Prosper","MEM",1.2,1.2,1.2,16.4,105,540,105,543,105,550,105,539,"High"
"1346","Onyeka Okongwu","ATL",1.2,1.2,1.2,16.4,105,540,105,543,105,550,105,539,"High"
"1347","Orlando Robinson","ORL",1.2,1.2,1.2,16.4,105,540,105,543,105,550,105,539,"High"
"1348","Oso Ighodaro","PHO",1.2,1.2,1.2,16.4,105,540,105,543,105,550,105,539,"High"
"1349","Ousmane Dieng","OKC",1.2,1.2,1.2,16.4,105,540,105,543,105,550,105,539,"High"
"1350","P.J. Washington","DAL",1.2,1.2,1.2,16.4,105,540,105,543,105,550,105,539,"High"
"1351","PJ Hall","2TM",1.2,1.2,1.2,16.4,105,540,105,543,105,550,105,539,"High"
"1352","PJ Hall","CHO",1.2,1.2,1.2,16.4,105,540,105,543,105,550,105,539,"High"
"1353","PJ Hall","MEM",1.2,1.2,1.2,16.4,105,540,105,543,105,550,105,539,"High"
"1354","Pacome Dadiet","NYK",1.2,1.2,1.2,16.4,105,540,105,543,105,550,105,539,"High"
"1355","Paolo Banchero","ORL",1.2,1.2,1.2,16.4,105,540,105,543,105,550,105,539,"High"
"1356","Pascal Siakam","IND",1.2,1.2,1.2,16.4,105,540,105,543,105,550,105,539,"High"
"1357","Pat Connaughton","CHO",1.2,1.2,1.2,16.4,105,540,105,543,105,550,105,539,"High"
"1358","Pat Spencer","GSW",1.2,1.2,1.2,16.4,105,540,105,543,105,550,105,539,"High"
"1359","Patrick Williams","CHI",1.2,1.2,1.2,16.4,105,540,105,543,105,550,105,539,"High"
"1360","Paul George","PHI",1.2,1.2,1.2,16.4,105,540,105,543,105,550,105,539,"High"
"1361","Paul Reed","DET",1.2,1.2,1.2,16.4,105,540,105,543,105,550,105,539,"High"
"1362","Payton Pritchard","BOS",1.2,1.2,1.2,16.4,105,540,105,543,105,550,105,539,"High"
"1363","Pelle Larsson","MIA",1.2,1.2,1.2,16.4,105,540,105,543,105,550,105,539,"High"
"1364","Pete Nance","MIL",1.2,1.2,1.2,16.4,105,540,105,543,105,550,105,539,"High"
"1365","Peyton Watson","DEN",1.2,1.2,1.2,16.4,105,540,105,543,105,550,105,539,"High"
"1366","Precious Achiuwa","SAC",1.2,1.2,1.2,16.4,105,540,105,543,105,550,105,539,"High"
"1367","Quentin Grimes","PHI",1.2,1.2,1.2,16.4,105,540,105,543,105,550,105,539,"High"
"1368","Quenton Jackson","IND",1.2,1.2,1.2,16.4,105,540,105,543,105,550,105,539,"High"
"1369","Quinten Post","GSW",1.2,1.2,1.2,16.4,105,540,105,543,105,550,105,539,"High"
"1370","RJ Barrett","TOR",1.2,1.2,1.2,16.4,105,540,105,543,105,550,105,539,"High"
"1371","Rasheer Fleming","PHO",1.2,1.2,1.2,16.4,105,540,105,543,105,550,105,539,"High"
"1372","RayJ Dennis","2TM",1.2,1.2,1.2,16.4,105,540,105,543,105,550,105,539,"High"
"1373","RayJ Dennis","IND",1.2,1.2,1.2,16.4,105,540,105,543,105,550,105,539,"High"
"1374","Rayan Rupert","POR",1.2,1.2,1.2,16.4,105,540,105,543,105,550,105,539,"High"
"1375","Reed Sheppard","HOU",1.2,1.2,1.2,16.4,105,540,105,543,105,550,105,539,"High"
"1376","Riley Minix","SAS",1.2,1.2,1.2,16.4,105,540,105,543,105,550,105,539,"High"
"1377","Rob Dillingham","MIN",1.2,1.2,1.2,16.4,105,540,105,543,105,550,105,539,"High"
"1378","Robert Williams","POR",1.2,1.2,1.2,16.4,105,540,105,543,105,550,105,539,"High"
"1379","Ron Harper Jr.","BOS",1.2,1.2,1.2,16.4,105,540,105,543,105,550,105,539,"High"
"1380","Ron Holland","DET",1.2,1.2,1.2,16.4,105,540,105,543,105,550,105,539,"High"
"1381","Royce O'Neale","PHO",1.2,1.2,1.2,16.4,105,540,105,543,105,550,105,539,"High"
"1382","Rudy Gobert","MIN",1.2,1.2,1.2,16.4,105,540,105,543,105,550,105,539,"High"
"1383","Rui Hachimura","LAL",1.2,1.2,1.2,16.4,105,540,105,543,105,550,105,539,"High"
"1384","Russell Westbrook","SAC",1.2,1.2,1.2,16.4,105,540,105,543,105,550,105,539,"High"
"1385","Ryan Dunn","PHO",1.2,1.2,1.2,16.4,105,540,105,543,105,550,105,539,"High"
"1386","Ryan Kalkbrenner","CHO",1.2,1.2,1.2,16.4,105,540,105,543,105,550,105,539,"High"
"1387","Ryan Nembhard","DAL",1.2,1.2,1.2,16.4,105,540,105,543,105,550,105,539,"High"
"1388","Ryan Rollins","MIL",1.2,1.2,1.2,16.4,105,540,105,543,105,550,105,539,"High"
"1389","Saddiq Bey","NOP",1.2,1.2,1.2,16.4,105,540,105,543,105,550,105,539,"High"
"1390","Sam Hauser","BOS",1.2,1.2,1.2,16.4,105,540,105,543,105,550,105,539,"High"
"1391","Sam Merrill","CLE",1.2,1.2,1.2,16.4,105,540,105,543,105,550,105,539,"High"
"1392","Sandro Mamukelashvili","TOR",1.2,1.2,1.2,16.4,105,540,105,543,105,550,105,539,"High"
"1393","Santi Aldama","MEM",1.2,1.2,1.2,16.4,105,540,105,543,105,550,105,539,"High"
"1394","Scottie Barnes","TOR",1.2,1.2,1.2,16.4,105,540,105,543,105,550,105,539,"High"
"1395","Seth Curry","GSW",1.2,1.2,1.2,16.4,105,540,105,543,105,550,105,539,"High"
"1396","Shaedon Sharpe","POR",1.2,1.2,1.2,16.4,105,540,105,543,105,550,105,539,"High"
"1397","Shai Gilgeous-Alexander","OKC",1.2,1.2,1.2,16.4,105,540,105,543,105,550,105,539,"High"
"1398","Sidy Cissoko","POR",1.2,1.2,1.2,16.4,105,540,105,543,105,550,105,539,"High"
"1399","Simone Fontecchio","MIA",1.2,1.2,1.2,16.4,105,540,105,543,105,550,105,539,"High"
"1400","Sion James","CHO",1.2,1.2,1.2,16.4,105,540,105,543,105,550,105,539,"High"
"1401","Spencer Jones","DEN",1.2,1.2,1.2,16.4,105,540,105,543,105,550,105,539,"High"
"1402","Stephen Curry","GSW",1.2,1.2,1.2,16.4,105,540,105,543,105,550,105,539,"High"
"1403","Stephon Castle","SAS",1.2,1.2,1.2,16.4,105,540,105,543,105,550,105,539,"High"
"1404","Steven Adams","HOU",1.2,1.2,1.2,16.4,105,540,105,543,105,550,105,539,"High"
"1405","Svi Mykhailiuk","UTA",1.2,1.2,1.2,16.4,105,540,105,543,105,550,105,539,"High"
"1406","T.J. McConnell","IND",1.2,1.2,1.2,16.4,105,540,105,543,105,550,105,539,"High"
"1407","Tari Eason","HOU",1.2,1.2,1.2,16.4,105,540,105,543,105,550,105,539,"High"
"1408","Taurean Prince","MIL",1.2,1.2,1.2,16.4,105,540,105,543,105,550,105,539,"High"
"1409","Taylor Hendricks","UTA",1.2,1.2,1.2,16.4,105,540,105,543,105,550,105,539,"High"
