Table 1
,,,,,,,,,,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,FG% by Distance,FG% by Distance,FG% by Distance,FG% by Distance,FG% by Distance,FG% by Distance,% of FG Ast'd,% of FG Ast'd,Dunks,Dunks,Corner 3s,Corner 3s,1/2 Court,1/2 Court,,-additional
Rk,Player,Age,Team,Pos,G,GS,MP,FG%,Dist.,2P,0-3,3-10,10-16,16-3P,3P,2P,0-3,3-10,10-16,16-3P,3P,2P,3P,%FGA,#,%3PA,3P%,Att.,Md.,Awards,-9999
473,Hunter Sallis,22,PHI,SG,7,0,26,0.600,5.4,1.000,0.400,0.400,0.200,0.000,0.000,0.600,0.500,1.000,0.000,,,0.333,,0.000,0,,,0,0,,sallihu01
474,Mark Sears,23,MIL,PG,7,0,26,0.462,19.2,0.385,0.077,0.154,0.154,0.000,0.615,0.400,1.000,0.000,0.500,,0.500,0.000,0.750,0.000,0,0.000,,0,0,,searsma01
475,Orlando Robinson,25,ORL,C,4,1,25,0.600,13.0,0.600,0.400,0.200,0.000,0.000,0.400,0.667,1.000,0.000,,,0.500,1.000,1.000,0.000,0,0.000,,0,0,,robinor01
476,Jahmir Young,25,MIA,PG,5,0,24,0.364,13.7,0.545,0.182,0.273,0.091,0.000,0.455,0.333,0.000,0.667,0.000,,0.400,0.000,1.000,0.000,0,0.400,0.500,0,0,,youngja05
477,A.J. Lawson,25,TOR,SG,3,0,23,0.364,10.8,0.636,0.455,0.182,0.000,0.000,0.364,0.286,0.400,0.000,,,0.500,0.500,1.000,0.000,0,0.500,0.500,0,0,,lawsoaj01
478,DeAndre Jordan,37,NOP,C,2,1,23,0.800,1.3,1.000,0.800,0.200,0.000,0.000,0.000,0.800,1.000,0.000,,,,0.500,,0.400,2,,,0,0,,jordade01
479,Tolu Smith,25,DET,PF,2,0,22,0.750,2.8,1.000,0.625,0.375,0.000,0.000,0.000,0.750,0.800,0.667,,,,0.667,,0.250,2,,,0,0,,smithto05
480,Jahmai Mashack,23,MEM,SG,6,0,21,0.286,20.0,0.286,0.000,0.286,0.000,0.000,0.714,0.000,,0.000,,,0.400,,1.000,0.000,0,0.400,0.500,0,0,,mashaja01
481,Ron Harper Jr.,25,BOS,SF,4,0,20,0.300,22.1,0.200,0.100,0.100,0.000,0.000,0.800,0.500,1.000,0.000,,,0.250,1.000,1.000,0.000,0,0.125,0.000,0,0,,harpero02
482,Brandon Clarke,29,MEM,PF,2,2,20,0.333,4.1,1.000,0.556,0.444,0.000,0.000,0.000,0.333,0.400,0.250,,,,0.667,,0.000,0,,,0,0,,clarkbr01
483,Isaac Jones,25,2TM,PF,4,1,18,0.500,13.8,0.500,0.500,0.000,0.000,0.000,0.500,1.000,1.000,,,,0.000,0.500,,0.250,1,0.500,0.000,0,0,,jonesis01
483,Isaac Jones,25,SAC,PF,3,1,17,0.500,14.0,0.500,0.500,0.000,0.000,0.000,0.500,1.000,1.000,,,,0.000,0.000,,0.000,0,0.000,,0,0,,jonesis01
483,Isaac Jones,25,DET,PF,1,0,1,0.500,13.5,0.500,0.500,0.000,0.000,0.000,0.500,1.000,1.000,,,,0.000,1.000,,0.500,1,1.000,0.000,0,0,,jonesis01
484,Jacob Toppin,25,ATL,SF,5,0,17,0.667,4.8,1.000,0.500,0.167,0.333,0.000,0.000,0.667,1.000,0.000,0.500,,,0.500,,0.500,3,,,0,0,,toppija01
485,Chris Livingston,22,CLE,SF,3,0,17,0.571,11.7,0.571,0.429,0.143,0.000,0.000,0.429,1.000,1.000,1.000,,,0.000,0.750,,0.000,0,1.000,0.000,0,0,,livinch01
486,N'Faly Dante,24,ATL,C,4,0,15,0.250,4.3,1.000,0.500,0.250,0.250,0.000,0.000,0.250,0.500,0.000,0.000,,,1.000,,0.250,1,,,0,0,,nfalyda01
487,Curtis Jones,24,DEN,SG,4,0,14,0.250,15.6,0.500,0.125,0.375,0.000,0.000,0.500,0.500,1.000,0.333,,,0.000,0.500,,0.000,0,0.250,0.000,0,0,,jonescu01
488,Daeqwon Plowden,27,SAC,SG,1,0,14,0.200,15.8,0.400,0.200,0.200,0.000,0.000,0.600,0.500,1.000,0.000,,,0.000,0.000,,0.200,1,0.667,0.000,0,0,,plowdda01
489,Chris Mañon,24,LAL,SG,3,0,13,0.000,24.8,0.000,0.000,0.000,0.000,0.000,1.000,,,,,,0.000,,,0.000,0,0.000,,0,0,,manonch01
490,Chucky Hepburn,22,TOR,PG,2,0,13,0.000,23.0,0.167,0.000,0.000,0.167,0.000,0.833,0.000,,,0.000,,0.000,,,0.000,0,0.000,,0,0,,hepbuch01
491,Harrison Ingram,23,SAS,SF,3,0,11,0.667,11.6,0.667,0.333,0.333,0.000,0.000,0.333,0.500,1.000,0.000,,,1.000,0.000,1.000,0.000,0,0.000,,0,0,,ingraha01
492,Drew Timme,25,LAL,PF,3,0,11,0.500,14.2,0.500,0.000,0.500,0.000,0.000,0.500,1.000,,1.000,,,0.000,1.000,,0.000,0,1.000,0.000,0,0,,timmedr01
493,Miles Kelly,23,DAL,PG,2,0,11,0.500,15.2,0.500,0.000,0.500,0.000,0.000,0.500,1.000,,1.000,,,0.000,1.000,,0.000,0,1.000,0.000,0,0,,kellymi02
494,Sharife Cooper,24,WAS,PG,4,0,10,0.000,26.7,0.000,0.000,0.000,0.000,0.000,1.000,,,,,,0.000,,,0.000,0,0.000,,0,0,,coopesh01
495,Tosan Evbuomwan,24,NYK,SF,5,0,8,0.000,6.2,1.000,0.000,1.000,0.000,0.000,0.000,0.000,,0.000,,,,,,0.000,0,,,0,0,,evbuoto01
496,Riley Minix,25,SAS,SF,3,0,8,0.667,13.1,0.500,0.500,0.000,0.000,0.000,0.500,1.000,1.000,,,,0.333,0.333,1.000,0.167,1,0.333,1.000,0,0,,minixri01
497,Koby Brea,23,PHO,SG,2,0,8,0.333,18.7,0.333,0.333,0.000,0.000,0.000,0.667,1.000,1.000,,,,0.000,0.000,,0.000,0,0.000,,0,0,,breako01
498,Alijah Martin,24,TOR,SG,2,0,7,0.000,0.5,1.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,,,,,,,0.000,0,,,0,0,,martial01
499,Colby Jones,23,DET,SG,1,0,7,0.333,16.9,0.333,0.000,0.333,0.000,0.000,0.667,1.000,,1.000,,,0.000,0.000,,0.000,0,1.000,0.000,0,0,,jonesco02
500,Noa Essengue,19,CHI,PF,2,0,6,0.000,16.9,0.333,0.333,0.000,0.000,0.000,0.667,0.000,0.000,,,,0.000,,,0.000,0,0.500,0.000,0,0,,essenno01
501,Trentyn Flowers,20,CHI,SF,2,0,6,0.667,8.3,0.667,0.667,0.000,0.000,0.000,0.333,1.000,1.000,,,,0.000,0.500,,0.333,1,1.000,0.000,0,0,,flowetr01
502,Isaiah Crawford,24,HOU,SF,2,0,5,0.000,23.4,0.000,0.000,0.000,0.000,0.000,1.000,,,,,,0.000,,,0.000,0,1.000,0.000,0,0,,crawfis01
503,Hunter Dickinson,25,NOP,C,1,0,5,0.500,12.8,1.000,0.000,0.000,1.000,0.000,0.000,0.500,,,0.500,,,1.000,,0.000,0,,,0,0,,dickihu01
504,Mo Bamba,27,TOR,C,1,0,4,,,,,,,,,,,,,,,,,,0,,,0,0,,bambamo01
505,Vladislav Goldin,24,MIA,C,1,0,1,,,,,,,,,,,,,,,,,,0,,,0,0,,goldivl01
,League Average,,,,,,,0.470,14.0,0.587,0.233,0.208,0.095,0.050,0.413,0.547,0.697,0.460,0.448,0.403,0.360,0.529,0.856,0.061,,0.241,0.385,,,,-9999
