Table 1
,,,,,,,,,,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,FG% by Distance,FG% by Distance,FG% by Distance,FG% by Distance,FG% by Distance,FG% by Distance,% of FG Ast'd,% of FG Ast'd,Dunks,Dunks,Corner 3s,Corner 3s,1/2 Court,1/2 Court,,-additional
Rk,Player,Age,Team,Pos,G,GS,MP,FG%,Dist.,2P,0-3,3-10,10-16,16-3P,3P,2P,0-3,3-10,10-16,16-3P,3P,2P,3P,%FGA,#,%3PA,3P%,Att.,Md.,Awards,-9999
72,Max Christie,22,DAL,SG,32,23,909,0.477,17.4,0.383,0.148,0.167,0.053,0.015,0.617,0.495,0.718,0.295,0.500,0.500,0.466,0.620,0.961,0.045,12,0.417,0.500,0,0,,chrisma02
73,Naz Reid,26,MIN,C,34,0,906,0.448,16.6,0.438,0.141,0.227,0.068,0.003,0.562,0.557,0.732,0.500,0.407,0.000,0.363,0.515,0.951,0.023,5,0.377,0.405,1,0,,reidna01
74,Derik Queen,21,NOP,C,35,23,904,0.500,7.9,0.903,0.403,0.297,0.109,0.094,0.097,0.532,0.674,0.442,0.395,0.364,0.206,0.375,0.714,0.080,27,0.265,0.222,0,0,,queende01
75,Matas Buzelis,21,CHI,PF,33,33,900,0.486,12.9,0.549,0.394,0.129,0.020,0.006,0.451,0.599,0.652,0.489,0.143,1.000,0.348,0.530,0.945,0.080,25,0.316,0.320,0,0,,buzelma01
76,Ivica Zubac,28,LAC,C,28,28,896,0.609,4.2,1.000,0.462,0.449,0.090,0.000,0.000,0.609,0.729,0.507,0.500,,,0.658,,0.196,55,,,0,0,,zubaciv01
77,P.J. Washington,27,DAL,PF,28,28,895,0.460,12.0,0.658,0.249,0.322,0.062,0.025,0.342,0.532,0.682,0.456,0.364,0.444,0.322,0.573,0.923,0.099,32,0.438,0.358,0,0,,washipj01
78,A.J. Green,26,MIL,SG,31,31,893,0.450,24.1,0.087,0.017,0.026,0.035,0.009,0.913,0.500,0.750,0.500,0.500,0.000,0.445,0.500,0.936,0.000,0,0.261,0.600,0,0,,greenaj01
79,Shaedon Sharpe,22,POR,SG,30,24,883,0.452,13.8,0.670,0.256,0.191,0.096,0.128,0.330,0.511,0.703,0.427,0.404,0.333,0.331,0.427,0.542,0.074,31,0.090,0.250,0,0,,sharpsh01
80,Tim Hardaway Jr.,33,DEN,SG,33,5,880,0.455,20.4,0.322,0.080,0.090,0.087,0.065,0.678,0.558,0.615,0.414,0.643,0.571,0.406,0.793,0.910,0.025,6,0.169,0.405,0,0,,hardati02
81,Rui Hachimura,27,LAL,PF,27,27,877,0.521,15.8,0.572,0.187,0.105,0.163,0.117,0.428,0.578,0.688,0.481,0.571,0.500,0.445,0.741,0.980,0.066,16,0.464,0.471,0,0,,hachiru01
82,Norman Powell,32,MIA,SG,28,28,874,0.479,14.5,0.575,0.217,0.234,0.080,0.043,0.425,0.540,0.620,0.472,0.541,0.500,0.398,0.538,0.872,0.015,6,0.189,0.378,1,1,,powelno01
83,Cedric Coward,22,MEM,SG,32,19,871,0.473,13.7,0.577,0.249,0.201,0.115,0.012,0.423,0.579,0.702,0.529,0.436,0.250,0.329,0.496,0.936,0.062,18,0.287,0.244,0,0,,cowarce01
84,Luka Dončić,26,LAL,PG,24,24,870,0.459,18.0,0.530,0.074,0.173,0.201,0.081,0.470,0.582,0.925,0.606,0.523,0.364,0.322,0.198,0.390,0.004,2,0.059,0.133,0,0,,doncilu01
85,Bub Carrington,20,WAS,PG,32,11,866,0.410,19.3,0.445,0.066,0.145,0.105,0.129,0.555,0.360,0.353,0.216,0.519,0.394,0.451,0.415,0.734,0.016,2,0.183,0.346,0,0,,carrica01
86,Jalen Duren,22,DET,C,30,30,862,0.638,4.0,1.000,0.483,0.444,0.049,0.024,0.000,0.638,0.704,0.603,0.188,0.875,,0.610,,0.264,82,,,0,0,,durenja01
87,Kyshawn George,22,WAS,SF,27,27,860,0.467,16.4,0.533,0.168,0.168,0.133,0.063,0.467,0.518,0.679,0.396,0.524,0.400,0.408,0.287,0.883,0.022,6,0.231,0.471,0,0,,georgky01
88,Kris Dunn,31,LAC,PG,32,26,858,0.505,14.8,0.530,0.188,0.248,0.084,0.010,0.470,0.598,0.789,0.560,0.353,0.000,0.400,0.563,1.000,0.025,4,0.368,0.543,0,0,,dunnkr01
89,Michael Porter Jr.,27,BRK,SF,26,26,858,0.496,16.9,0.504,0.180,0.116,0.100,0.108,0.496,0.580,0.862,0.464,0.458,0.346,0.410,0.652,0.878,0.066,30,0.146,0.343,0,0,,portemi01
90,Cameron Johnson,29,DEN,SF,28,28,857,0.461,16.2,0.486,0.224,0.118,0.061,0.082,0.514,0.496,0.727,0.207,0.333,0.400,0.429,0.712,0.944,0.045,10,0.302,0.395,0,0,,johnsca02
91,Peyton Watson,23,DEN,SF,31,21,852,0.508,10.9,0.648,0.380,0.224,0.032,0.012,0.352,0.580,0.726,0.375,0.125,1.000,0.375,0.777,1.000,0.176,38,0.545,0.500,0,0,,watsope01
92,Sion James,23,CHO,SG,33,15,851,0.405,16.3,0.393,0.268,0.107,0.018,0.000,0.607,0.470,0.511,0.389,0.333,,0.363,0.613,0.973,0.060,8,0.431,0.318,0,0,,jamessi01
93,Josh Hart,30,NYK,SF,28,14,849,0.498,13.8,0.564,0.305,0.139,0.093,0.027,0.436,0.582,0.684,0.556,0.417,0.143,0.389,0.635,0.864,0.035,9,0.336,0.474,0,0,,hartjo01
94,Noah Clowney,21,BRK,PF,30,24,848,0.400,18.6,0.329,0.115,0.176,0.027,0.010,0.671,0.526,0.676,0.442,0.625,0.000,0.338,0.627,1.000,0.044,10,0.278,0.473,0,0,,clownno01
95,Kyle Kuzma,30,MIL,PF,32,15,847,0.508,10.0,0.741,0.346,0.314,0.049,0.032,0.259,0.581,0.785,0.423,0.200,0.500,0.300,0.654,0.833,0.058,16,0.363,0.345,0,0,,kuzmaky01
96,Gary Trent Jr.,27,MIL,SG,32,17,839,0.388,20.7,0.304,0.049,0.106,0.080,0.068,0.696,0.425,0.615,0.357,0.429,0.389,0.372,0.559,0.912,0.000,0,0.284,0.519,0,0,,trentga02
97,Dillon Brooks,30,PHO,SF,27,27,837,0.457,16.6,0.588,0.103,0.161,0.232,0.092,0.412,0.540,0.771,0.520,0.472,0.488,0.339,0.297,0.831,0.009,4,0.156,0.300,0,0,,brookdi01
98,De'Andre Hunter,28,CLE,SF,30,23,833,0.425,16.9,0.497,0.144,0.161,0.126,0.066,0.503,0.538,0.680,0.464,0.500,0.478,0.314,0.602,0.818,0.034,10,0.200,0.343,0,0,,huntede01
99,Chet Holmgren,23,OKC,PF,29,29,831,0.571,11.9,0.694,0.291,0.263,0.089,0.051,0.306,0.650,0.833,0.543,0.452,0.500,0.393,0.658,0.952,0.171,56,0.150,0.375,0,0,,holmgch01
100,John Collins,28,LAC,PF,31,22,830,0.516,11.3,0.678,0.284,0.291,0.069,0.035,0.322,0.597,0.793,0.500,0.350,0.300,0.344,0.752,1.000,0.118,29,0.656,0.377,0,0,,collijo01
101,Jaylon Tyson,23,CLE,SG,30,19,825,0.522,12.7,0.568,0.346,0.183,0.030,0.010,0.432,0.573,0.625,0.545,0.333,0.000,0.454,0.663,1.000,0.073,17,0.485,0.444,0,0,,tysonja01
102,Ajay Mitchell,23,OKC,SG,32,7,823,0.478,11.9,0.707,0.203,0.355,0.101,0.048,0.293,0.532,0.691,0.513,0.471,0.125,0.347,0.333,0.794,0.009,3,0.306,0.433,0,0,,mitchaj01
103,Kel'el Ware,21,MIA,C,33,23,820,0.564,9.7,0.685,0.481,0.173,0.021,0.010,0.315,0.606,0.712,0.340,0.500,0.333,0.473,0.683,1.000,0.246,65,0.308,0.500,0,0,,wareke01
104,Andrew Nembhard,26,IND,PG,26,26,819,0.428,16.0,0.635,0.144,0.193,0.149,0.149,0.365,0.474,0.635,0.443,0.463,0.370,0.348,0.275,0.674,0.008,2,0.053,0.143,0,0,,nembhan01
105,Bruce Brown,29,DEN,SG,33,1,815,0.480,9.8,0.750,0.353,0.284,0.093,0.020,0.250,0.529,0.778,0.310,0.368,0.000,0.333,0.630,0.941,0.015,3,0.471,0.375,0,0,,brownbr01
106,Jarace Walker,22,IND,PF,34,12,814,0.352,16.9,0.470,0.129,0.213,0.094,0.035,0.530,0.393,0.514,0.311,0.444,0.300,0.316,0.604,0.917,0.014,3,0.184,0.393,0,0,,walkeja02
107,Austin Reaves,27,LAL,SG,23,22,812,0.507,15.9,0.544,0.158,0.239,0.118,0.029,0.456,0.626,0.831,0.596,0.500,0.273,0.365,0.307,0.645,0.005,2,0.100,0.471,0,0,,reaveau01
108,Franz Wagner,24,ORL,SF,24,24,801,0.490,11.0,0.738,0.262,0.361,0.073,0.042,0.262,0.535,0.720,0.442,0.429,0.375,0.360,0.477,0.778,0.034,11,0.130,0.462,0,0,,wagnefr01
109,Bobby Portis,30,MIL,PF,34,5,799,0.489,16.0,0.622,0.116,0.199,0.152,0.155,0.378,0.498,0.690,0.472,0.436,0.446,0.474,0.679,1.000,0.008,3,0.292,0.550,0,0,,portibo01
